 project_id | course_id |          project_name           |                                                            description                                                            |                                   tasks                                    |                                                bg_materials                                                |   type   | team 
------------+-----------+---------------------------------+-----------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------+----------+------
          1 | TST01     | Introduction to SQL             | Learn SQL basics                                                                                                                  | 1, Taste it,                                                              +| https://journey.code.cool/v2/project/curriculum/materials/tutorials/introduction-to-sql.md                 | Tutorial | f
            |           |                                 |                                                                                                                                   | 2, Explore further                                                         |                                                                                                            |          | 
          2 | TST01     | Setup PostgreSQL                | Install and experience the fun and never ending joy that comes from debugging the errors in psql                                  | 1, Install PostgreSQL,                                                    +| https://journey.code.cool/v2/project/curriculum/project/setup-postgresql/SOLO/PYTHON/TESTING-4M-DAYTIME    | Exercise | f
            |           |                                 |                                                                                                                                   | 2, Set up PostgreSQL,                                                     +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 3, Connect with psql and create a table with data,                        +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 4, Connect with your IDE and get some data,                               +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 5, Connect to PostgreSQL with Python                                       |                                                                                                            |          | 
          3 | TST01     | Project Codewars - 7 kyu in SQL | Fight through the challenges and build your way up to 7 kyu in the legendary codewars battleground                                | 1, Reach 7 kyu in SQL                                                      | https://journey.code.cool/v2/project/curriculum/project/codewars-sql-7-kyu/SOLO/GENERAL/TESTING-4M-DAYTIME | Exercise | f
          4 | TST01     | TodoDB.sql                      | Write your own todo list in a damn database without any given graphic shell, why? Why not?                                        | 1, VM with NAT Networking,                                                +| https://journey.code.cool/v2/project/curriculum/project/tododb-sql/SOLO/GENERAL/TESTING-4M-DAYTIME         | Exercise | f
            |           |                                 |                                                                                                                                   | 2, Create Database,                                                       +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 3, Create Schema,                                                         +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 4, Alter Schema,                                                          +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 5, Insert Data,                                                           +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 6, Retrieve Data,                                                         +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 7, Modify Existing Data,                                                  +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 8, Delete Finished Tasks,                                                 +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 9, Drop Tables                                                             |                                                                                                            |          | 
          5 | TST01     | Northwind Traders               | You are a member of the Data Analysis team, and your task is to help the management to understand what is going on in the company | 1, List products and their suppliers,                                     +| https://journey.code.cool/v2/project/curriculum/project/northwind-traders/TEAM/PYTHON/TESTING-4M-DAYTIME   | Exercise | t
            |           |                                 |                                                                                                                                   | 2, Count products by categories,                                          +|                                                                                                            |          | 
            |           |                                 |                                                                                                                                   | 3, Top 10 Worst selling products,                                         +|                                                                                                            |          | 
